        # num denom aH bH cH sH aMH bMH cMH sMH aPL bPL sPL aE bE sE aL bL sL bestS function min max
l1159 l1167     3797.8706       0.9545       0.1834      74.2423       0.2000       0.2000       0.2000     242.9229    3611.0657       0.1429      82.9848    3056.3784       1.1633     141.9705    3617.4436     502.2747      78.4005      74.2423  HO         0.46         2.30
l1167 l1141     6374.0894       0.5117       0.1954      54.6253       0.2000       0.2000       0.2000     242.9612    3272.0918      -0.3470      67.4863    5021.0977       0.6502      56.6644    3268.3560   -1233.9209      62.8566      54.6253  HO         0.59         1.11
l1167 l1155        0.2000       0.2000       0.2000     242.9357       0.2000       0.2000       0.2000     242.9618    3181.2734      -0.2377     108.7890    4535.5967       0.6881      73.0098    3163.6440    -856.9371      99.0867      73.0098  EX         0.30         0.96
l1167 l1159        0.2000       0.2000       0.2000     242.9293    3796.2219       0.9548      -0.1830      74.2793    3611.0662      -0.1429      82.9859    4065.5520       0.8969      72.3771    3617.4375    -502.2527      78.3994      72.3771  EX         0.44         2.16
l1167 l1174     6487.6665       0.4950       0.2006      54.2148    4842.6494       0.6630      -0.8894      52.9282    3237.2944      -0.3494      74.2326    5046.7866       0.6379      56.6126    3229.1355   -1248.7271      67.0205      52.9282  MH         0.50         1.11
l1167 l1196     3633.4194       0.8892      -0.0936      74.9655       0.2000       0.2000       0.2000     242.9647    3239.7598      -0.1698      84.3351    4173.9102       0.7722      73.4172    3235.7783    -597.0057      79.7583      73.4172  EX         0.26         1.10
l1174 l1167     4842.6655       0.6630       0.8893      52.9181    6471.2080       0.4963      -0.1986      54.2002    3237.2002       0.3495      74.2717    2521.6040       1.2934     102.6583    3229.0767    1249.0093      67.0490      52.9181  HO         0.90         2.01
l1488 l1469        0.2000       0.2000       0.2000     242.9393    6558.3818       0.5798      -0.7424      73.4564    3780.2822      -0.2855     110.1050    4785.8325       0.7922      81.1819    3787.5085   -1035.7097     101.0308      73.4564  MH         0.68         1.75
l1886 l1890        0.2000       0.2000       0.2000     242.9378    6081.1948       0.6491      -0.5585      59.6432    3912.5098      -0.2247     149.5566    4603.0586       0.8514      88.6828    3929.0068    -848.1412     138.4494      59.6432  MH         0.60         2.29
l1890 l1886     6080.7578       0.6491       0.5585      59.6448       0.2000       0.2000       0.2000     242.9358    3912.7524       0.2248     149.6341    2999.6963       1.2710     195.5905    3928.9875     848.1193     138.4453      59.6448  HO         0.44         1.66
l1890 l1904     5863.5103       0.6875       0.4648      72.0501       0.2000       0.2000       0.2000     242.9352    3951.7122       0.1828     165.4723    3150.9534       1.2051     205.5001    3977.8196     706.4951     157.2935      72.0501  HO         0.37         1.83
l1904 l1890        0.2000       0.2000       0.2000     242.9375    5863.2529       0.6875      -0.4647      72.0453    3951.8337      -0.1828     165.5311    4500.2544       0.8842     100.8858    3977.8469    -706.5361     157.3023      72.0453  MH         0.55         2.70
l1937 l1977        0.2000       0.2000       0.2000     242.9643    3830.8271       0.8421       0.0721      61.0561    3237.2617       0.1875      70.4142    2928.5295       1.1167     117.5074    3232.8774     660.2266      65.8575      61.0561  MH         0.93         3.49
l1977 l1937     3839.5957       0.8402      -0.0705      61.0249       0.2000       0.2000       0.2000     242.9648    3237.3604      -0.1875      70.3832    4248.7607       0.7581      62.9216    3232.9043    -660.2101      65.8561      61.0249  HO         0.29         1.07
l2099 l2136        0.2000       0.2000       0.2000     242.9561    8367.4473       0.2694      -0.2987      72.3482    2827.5776       0.3024     124.1674       1.5000       0.0000     242.9507    2719.9778    1116.7883     114.3675      72.3482  MH         1.46         4.02
l2136 l2099     8263.9014       0.2735       0.2916      72.3562       0.2000       0.2000       0.2000     242.9554    2827.3667      -0.3025     124.2310    4921.4077       0.5087      89.6166    2720.0574   -1116.6699     114.3513      72.3562  HO         0.25         0.68
l2572 l2619     4153.6460       0.9134      -0.0130      61.5741    4412.2583       0.8645      -0.2641      63.4536    3810.9526      -0.1635      98.7635    4182.4775       0.9065      61.0039    3812.6914    -585.3015      88.8733      61.0039  EX         0.54         2.82
l2576 l2619        0.2000       0.2000       0.2000     242.9312    4094.9309       0.9031      -0.2449      70.8174    3671.9963      -0.1572     103.8962    4146.3198       0.8912      68.7688    3679.2478    -561.8071      94.1537      68.7688  EX         0.42         2.23
l2589 l2619        0.2000       0.2000       0.2000     242.9297    3825.4360       0.9316      -0.2330      66.2055    3541.0388      -0.1592      91.2848    4133.8198       0.8671      68.8717    3549.0676    -563.8553      82.6727      66.2055  MH         0.36         1.91
l2617 l2619        0.2000       0.2000       0.2000     242.9273    3802.5239       0.9406      -0.2036      78.0708    3548.2371      -0.1362     108.1114    4067.4871       0.8848      74.3828    3556.7300    -487.3952      99.1735      74.3828  EX         0.28         1.93
l2619 l2572     4412.7412       0.8644       0.2641      63.4521       0.2000       0.2000       0.2000     242.9313    3811.0068       0.1635      98.7843    3070.9451       1.2220     172.4453    3812.7224     585.3547      88.8825      63.4521  HO         0.36         1.86
l2619 l2573        0.2000       0.2000       0.2000     242.9607       0.2000       0.2000       0.2000     242.9400    3699.6772       0.3338      75.6437    2458.4226       1.5063      72.5499    3697.2957    1144.4008      77.9626      72.5499  EX         0.64         1.11
l2619 l2576     4094.9268       0.9031       0.2449      70.8176    4061.5791       0.9092       0.0286      70.0302    3672.0142       0.1573     103.9086    3089.9871       1.1652     179.0933    3679.2161     561.7230      94.1415      70.0302  MH         0.45         2.40
l2619 l2617     3802.6499       0.9406       0.2036      78.0692    3974.3630       0.9035       0.0244      74.6922    3548.2388       0.1362     108.1128    3161.0149       1.1034     186.8757    3556.7341     487.4186      99.1775      74.6922  MH         0.52         3.51
