                        # n, d, f, numerator, denominator, feature, p0, p1, p2, sigma_fit, Rap, minr, maxr, minew, maxew
 899  905  909       6750.42      6753.06      6754.55  -1.79083E-02 -8.95582E-01  1.68104E+00        0.0877       0.4527       0.5918       0.9735      50.4000      87.2700
 899  906  909       6750.42      6753.39      6754.55  -2.08754E-02 -6.47152E-01  1.75450E+00        0.0935       0.3784       0.6502       1.1706      50.4000      87.2700
 899  907  909       6750.42      6753.67      6754.55  -2.05880E-02 -6.59637E-01  1.86672E+00        0.0980       0.3175       0.8022       1.3019      50.4000      87.2700
 899  908  909       6750.42      6754.05      6754.55  -1.90956E-02 -5.52645E-01  1.56841E+00        0.0869       0.4635       0.6122       1.3647      50.4000      87.2700
 899  914  909       6750.42      6758.06      6754.55  -1.95329E-02 -8.32100E-01  1.68623E+00        0.0893       0.4322       0.5326       0.9079      50.4000      87.2700
 899  916  909       6750.42      6762.71      6754.55  -1.75968E-02 -9.81091E-01  1.82046E+00        0.0924       0.3931       0.6919       1.0532      50.4000      87.2700
 899  917  909       6750.42      6763.12      6754.55  -1.92517E-02 -5.48188E-01  1.62415E+00        0.0933       0.3808       0.7196       1.4729      50.4000      87.2700
 900  896  909       6750.76      6749.05      6754.55  -1.68403E-02  2.58338E-01  6.30274E-01        0.0990       0.3037       0.7276       2.0000      50.4000      87.2700
 900  899  909       6750.76      6750.42      6754.55  -1.67585E-02  4.99501E-01  3.77006E-01        0.0947       0.3623       0.8350       1.5271      50.4000      87.2700
 900  911  909       6750.76      6755.83      6754.55  -1.98272E-02  1.46692E-01  7.94015E-01        0.0969       0.3319       1.2449       3.2872      50.4000      87.2700
 900  918  909       6750.76      6764.08      6754.55  -1.81630E-02  6.38258E-01  6.04501E-01        0.0990       0.3035       0.4231       0.9073      50.4000      87.2700
 903  888  909       6752.21      6740.96      6754.55  -1.95113E-02 -4.20335E-01  1.69358E+00        0.0899       0.4252       0.9715       1.7752      50.4000      87.2700
 903  908  909       6752.21      6754.05      6754.55  -1.95964E-02 -5.70379E-01  1.68353E+00        0.0946       0.3634       0.7480       1.4567      50.4000      87.2700
 903  922  909       6752.21      6766.10      6754.55  -1.94451E-02 -4.24593E-01  1.64393E+00        0.0933       0.3812       0.9403       1.7829      50.4000      87.2700
 905  899  909       6753.06      6750.42      6754.55  -1.74364E-02  4.97408E-01  3.06163E-01        0.0893       0.4328       1.0272       1.6898      50.4000      87.2700
 906  899  909       6753.39      6750.42      6754.55  -2.04003E-02  4.84027E-01  5.94240E-01        0.0954       0.3537       0.8543       1.5380      50.4000      87.2700
 908  886  909       6754.05      6739.46      6754.55  -1.81834E-02  6.37666E-01  2.04215E-01        0.0991       0.3025       0.9436       1.5578      50.4000      87.2700
 908  899  909       6754.05      6750.42      6754.55  -1.81551E-02  4.09048E-01  5.43516E-01        0.0900       0.4236       0.7327       1.6334      50.4000      87.2700
 908  903  909       6754.05      6752.21      6754.55  -1.89360E-02  5.50440E-01  5.10929E-01        0.0965       0.3380       0.6865       1.3370      50.4000      87.2700
 908  911  909       6754.05      6755.83      6754.55  -2.01648E-02  1.08960E-01  8.88103E-01        0.0985       0.3106       1.0925       3.6933      50.4000      87.2700
 908  918  909       6754.05      6764.08      6754.55  -1.89355E-02  4.87685E-01  7.36170E-01        0.0978       0.3200       0.3713       1.0277      50.4000      87.2700
 909  890  918       6754.55      6743.98      6764.08  -1.43638E-02 -6.99987E-01  1.92502E+00        0.0925       0.3916       0.7165       1.5019      74.3100     114.7500
 909  892  918       6754.55      6745.95      6764.08  -1.23261E-02 -1.07979E+00  1.94192E+00        0.0962       0.3404       0.6361       1.0942      74.3100     114.7500
 909  905  918       6754.55      6753.06      6764.08  -1.55051E-02 -6.28721E-01  1.86300E+00        0.0999       0.2853       0.5516       1.2549      74.3100     114.7500
 909  917  918       6754.55      6763.12      6764.08  -1.67791E-02 -4.76228E-01  1.96411E+00        0.0975       0.3190       0.7731       1.8986      74.3100     114.7500
 911  888  909       6755.83      6740.96      6754.55  -2.13020E-02 -4.38981E-01  1.49882E+00        0.0910       0.4107       0.3529       1.1112      50.4000      87.2700
 911  890  909       6755.83      6743.98      6754.55  -2.07967E-02 -8.51095E-01  1.57195E+00        0.0936       0.3771       0.2965       0.6868      50.4000      87.2700
 911  891  909       6755.83      6744.45      6754.55  -2.10103E-02 -5.88519E-01  1.48917E+00        0.1000       0.2890       0.2995       0.8163      50.4000      87.2700
 911  892  909       6755.83      6745.95      6754.55  -2.09566E-02 -1.29992E+00  1.68171E+00        0.0946       0.3640       0.2537       0.5466      50.4000      87.2700
 911  900  909       6755.83      6750.76      6754.55  -2.06836E-02 -7.36167E-01  1.52315E+00        0.0947       0.3628       0.3042       0.8033      50.4000      87.2700
 911  905  909       6755.83      6753.06      6754.55  -2.07374E-02 -7.63479E-01  1.48206E+00        0.0981       0.3159       0.2369       0.6024      50.4000      87.2700
 911  906  909       6755.83      6753.39      6754.55  -2.22491E-02 -6.36066E-01  1.56474E+00        0.0982       0.3149       0.2777       0.7707      50.4000      87.2700
 911  907  909       6755.83      6753.67      6754.55  -2.21563E-02 -6.16659E-01  1.60538E+00        0.0998       0.2918       0.3369       0.8732      50.4000      87.2700
 911  908  909       6755.83      6754.05      6754.55  -2.11718E-02 -5.54438E-01  1.46635E+00        0.0962       0.3423       0.2708       0.9153      50.4000      87.2700
 911  914  909       6755.83      6758.06      6754.55  -2.18240E-02 -8.83273E-01  1.56736E+00        0.0949       0.3587       0.2153       0.6019      50.4000      87.2700
 911  916  909       6755.83      6762.71      6754.55  -2.10260E-02 -7.98779E-01  1.55087E+00        0.0993       0.2992       0.2619       0.7063      50.4000      87.2700
 911  917  909       6755.83      6763.12      6754.55  -2.13596E-02 -5.71578E-01  1.50990E+00        0.0965       0.3379       0.2969       0.8983      50.4000      87.2700
 911  920  909       6755.83      6765.52      6754.55  -2.18044E-02 -8.32287E-01  1.57433E+00        0.0985       0.3097       0.2622       0.6323      50.4000      87.2700
 911  922  909       6755.83      6766.10      6754.55  -2.11768E-02 -4.24470E-01  1.46019E+00        0.0952       0.3549       0.3279       1.1456      50.4000      87.2700
 911  923  909       6755.83      6770.51      6754.55  -2.15826E-02 -5.45374E-01  1.48294E+00        0.0980       0.3174       0.2604       0.8778      50.4000      87.2700
 912  914  909       6756.60      6758.06      6754.55  -1.78652E-02 -7.61935E-01  1.54021E+00        0.0999       0.2908       0.4529       0.8782      50.4000      87.2700
 912  922  909       6756.60      6766.10      6754.55  -1.78506E-02 -3.38281E-01  1.39064E+00        0.0996       0.2942       0.6498       1.6716      50.4000      87.2700
 914  899  909       6758.06      6750.42      6754.55  -1.92664E-02  3.73693E-01  5.42773E-01        0.0918       0.4009       1.1014       1.8775      50.4000      87.2700
 914  911  909       6758.06      6755.83      6754.55  -2.12131E-02  1.02233E-01  9.08214E-01        0.0977       0.3219       1.6615       4.6441      50.4000      87.2700
 914  918  909       6758.06      6764.08      6754.55  -1.99276E-02  4.49494E-01  7.45983E-01        0.0986       0.3090       0.5160       1.2803      50.4000      87.2700
 915  922  909       6760.64      6766.10      6754.55  -1.72403E-02 -4.18983E-01  1.37081E+00        0.0990       0.3028       0.5792       1.4109      50.4000      87.2700
 916  899  909       6762.71      6750.42      6754.55  -1.74852E-02  6.80946E-01  1.70312E-01        0.0935       0.3790       0.9495       1.4453      50.4000      87.2700
 916  918  909       6762.71      6764.08      6754.55  -1.91193E-02  7.41564E-01  5.66030E-01        0.0998       0.2925       0.4812       0.9730      50.4000      87.2700
 917  896  909       6763.12      6749.05      6754.55  -1.81195E-02  2.60708E-01  7.26510E-01        0.0988       0.3061       0.6690       2.0425      50.4000      87.2700
 917  899  909       6763.12      6750.42      6754.55  -1.88316E-02  5.86510E-01  4.47747E-01        0.0899       0.4248       0.6789       1.3896      50.4000      87.2700
 917  909  918       6763.12      6754.55      6764.08  -1.64226E-02  6.63860E-01  7.81492E-01        0.0929       0.3825       0.5267       1.2935      74.3100     114.7500
 917  911  909       6763.12      6755.83      6754.55  -2.09701E-02  1.43922E-01  8.91313E-01        0.0986       0.3092       1.1132       3.3679      50.4000      87.2700
 917  918  909       6763.12      6764.08      6754.55  -1.99446E-02  7.67692E-01  6.59936E-01        0.0933       0.3809       0.3891       0.8117      50.4000      87.2700
 917  919  909       6763.12      6764.44      6754.55  -2.12837E-02  9.83520E-01  5.44620E-01        0.0986       0.3086       0.5153       0.8352      50.4000      87.2700
 917  921  918       6763.12      6765.84      6764.08  -2.11907E-02  6.44855E-01  1.00600E+00        0.0934       0.3779       0.7573       1.8689      74.3100     114.7500
 917  926  909       6763.12      6773.22      6754.55  -1.88883E-02  2.52877E-01  6.79386E-01        0.0947       0.3616       0.9149       2.1628      50.4000      87.2700
 917  932  909       6763.12      6777.83      6754.55  -2.04783E-02  8.93676E-01  5.37912E-01        0.0967       0.3346       0.4641       0.8922      50.4000      87.2700
 918  900  909       6764.08      6750.76      6754.55  -1.90263E-02 -2.75646E-01  1.51005E+00        0.0967       0.3358       1.1022       2.3633      50.4000      87.2700
 918  905  909       6764.08      6753.06      6754.55  -1.96905E-02 -3.34483E-01  1.55447E+00        0.0960       0.3450       0.8325       1.7724      50.4000      87.2700
 918  908  909       6764.08      6754.05      6754.55  -2.03457E-02 -2.17156E-01  1.49281E+00        0.0949       0.3598       0.9730       2.6931      50.4000      87.2700
 918  914  909       6764.08      6758.06      6754.55  -2.08394E-02 -3.39595E-01  1.59808E+00        0.0953       0.3538       0.7811       1.9381      50.4000      87.2700
 918  916  909       6764.08      6762.71      6754.55  -1.98584E-02 -3.68832E-01  1.66873E+00        0.0974       0.3251       1.0278       2.0781      50.4000      87.2700
 918  917  909       6764.08      6763.12      6754.55  -2.05800E-02 -2.53423E-01  1.59824E+00        0.0936       0.3772       1.2320       2.5700      50.4000      87.2700
 918  922  909       6764.08      6766.10      6754.55  -2.02498E-02 -1.56046E-01  1.45951E+00        0.0957       0.3488       1.1206       3.6892      50.4000      87.2700
 918  923  909       6764.08      6770.51      6754.55  -2.06818E-02 -1.93530E-01  1.47343E+00        0.1000       0.2893       0.9074       2.8266      50.4000      87.2700
 918  924  909       6764.08      6771.04      6754.55  -1.60738E-02 -2.89308E-01  1.35825E+00        0.0993       0.2987       0.9869       2.2885      50.4000      87.2700
 918  925  909       6764.08      6771.81      6754.55  -2.17549E-02 -1.52816E-01  1.59434E+00        0.0997       0.2924       1.6942       3.8277      50.4000      87.2700
 918  928  909       6764.08      6775.32      6754.55  -1.98469E-02 -2.18212E-01  1.53157E+00        0.0970       0.3307       1.2122       2.6913      50.4000      87.2700
 919  908  909       6764.44      6754.05      6754.55  -2.04636E-02 -3.31032E-01  1.61469E+00        0.0976       0.3230       0.9035       2.1283      50.4000      87.2700
 919  917  909       6764.44      6763.12      6754.55  -2.14203E-02 -4.48674E-01  1.89007E+00        0.0972       0.3277       1.1972       1.9406      50.4000      87.2700
 919  922  909       6764.44      6766.10      6754.55  -2.02786E-02 -2.35170E-01  1.56115E+00        0.0975       0.3246       1.1945       2.7161      50.4000      87.2700
 919  934  909       6764.44      6779.36      6754.55  -2.08234E-02 -2.18902E-01  1.53677E+00        0.0970       0.3314       0.9565       2.5160      50.4000      87.2700
 921  922  909       6765.84      6766.10      6754.55  -1.99100E-02 -3.71512E-01  1.48605E+00        0.0998       0.2911       0.4966       1.5334      50.4000      87.2700
 921  934  909       6765.84      6779.36      6754.55  -2.05430E-02 -3.54380E-01  1.48255E+00        0.0991       0.3021       0.4037       1.3702      50.4000      87.2700
 922  903  909       6766.10      6752.21      6754.55  -1.85663E-02  6.55376E-01  5.23735E-01        0.0968       0.3333       0.5609       1.0635      50.4000      87.2700
 922  911  909       6766.10      6755.83      6754.55  -1.98331E-02  1.32394E-01  8.79197E-01        0.0994       0.2978       0.8729       3.0494      50.4000      87.2700
 922  918  909       6766.10      6764.08      6754.55  -1.86282E-02  5.59464E-01  7.50300E-01        0.0998       0.2922       0.2711       0.8923      50.4000      87.2700
 922  932  909       6766.10      6777.83      6754.55  -1.89920E-02  7.43907E-01  6.16171E-01        0.0961       0.3437       0.3533       0.8321      50.4000      87.2700
 922  935  909       6766.10      6780.23      6754.55  -1.99796E-02  5.75808E-01  6.97919E-01        0.0982       0.3140       0.4213       1.0022      50.4000      87.2700
 924  918  939       6771.04      6764.08      6785.38  -3.30446E-02  6.06994E-01  4.11535E-01        0.0931       0.3829       0.4370       1.0133      20.7600      37.4500
 924  926  939       6771.04      6773.22      6785.38  -3.20375E-02  1.75076E-01  4.94204E-01        0.0992       0.2980       1.0822       2.5708      20.7600      37.4500
 924  930  940       6771.04      6777.25      6785.77  -3.14735E-02  3.15338E-01  5.85874E-01        0.0974       0.3218       0.7558       1.8699      27.2500      43.9700
