# line_id  wave		width
l0554      5532.18         0.44
l0555      5532.45         0.09
l0556      5532.58         0.18
l0557      5532.76         0.18
l0558      5533.00         0.30
l0559      5533.23         0.17
l0560      5533.38         0.13
l0561      5533.58         0.26
l0562      5533.88         0.34
l0563      5534.14         0.18
l0564      5534.38         0.29
l0565      5534.70         0.36
l0566      5535.14         0.22
l0567      5535.47         0.44
l0568      5535.83         0.28
l0569      5536.06         0.17
l0570      5536.19         0.10
l0571      5536.33         0.13
l0572      5536.53         0.26
l0573      5537.00         0.33
l0574      5537.28         0.22
l0575      5537.49         0.19
l0576      5537.75         0.33
l0577      5538.01         0.20
l0578      5538.17         0.11
l0579      5539.62         0.41
l0580      5540.06         0.37
l0581      5540.31         0.13
l0582      5540.50         0.24
l0583      5540.75         0.26
l0584      5540.98         0.21
l0585      5541.29         0.39
l0586      5541.55         0.14
l0587      5541.88         0.51
l0588      5542.30         0.16
l0589      5542.46         0.17
l0590      5542.74         0.40
l0591      5543.15         0.41
l0592      5543.52         0.17
l0593      5543.67         0.14
l0594      5544.05         0.36
l0595      5544.33         0.21
l0596      5544.58         0.17
l0597      5544.83         0.24
l0598      5545.06         0.22
l0599      5545.27         0.21
l0600      5545.54         0.32
l0601      5545.88         0.36
l0602      5546.13         0.15
l0603      5546.38         0.35
l0604      5546.67         0.23
l0605      5547.06         0.58
l0606      5547.42         0.13
l0607      5547.53         0.10
l0608      5547.73         0.16
l0609      5547.94         0.26
l0610      5548.65         0.25
l0611      5548.89         0.22
l0612      5549.26         0.18
l0613      5549.57         0.35
l0614      5550.13         0.25
l0615      5550.30         0.10
l0616      5550.45         0.20
l0617      5550.67         0.24
l0618      5550.91         0.23
l0619      5551.10         0.17
l0620      5551.36         0.06
l0621      5551.65         0.21
l0622      5551.95         0.22
l0623      5552.16         0.20
l0624      5552.38         0.16
l0625      5552.69         0.17
l0626      5552.88         0.21
l0627      5553.07         0.16
l0628      5553.29         0.27
l0629      5553.60         0.37
l0630      5553.84         0.11
l0631      5554.05         0.31
l0632      5554.27         0.13
l0633      5556.17         0.25
l0634      5556.34         0.10
l0635      5556.49         0.20
l0636      5556.66         0.14
l0637      5556.84         0.11
l0638      5557.06         0.16
l0639      5557.20         0.12
l0640      5557.43         0.18
l0641      5557.63         0.17
l0642      5557.92         0.19
l0643      5558.17         0.33
l0644      5558.45         0.22
l0645      5558.70         0.26
l0646      5559.11         0.34
l0647      5559.39         0.16
l0648      5559.70         0.22
l0649      5559.88         0.13
l0650      5561.01         0.15
l0651      5561.17         0.16
l0652      5561.49         0.20
l0653      5561.67         0.17
l0654      5561.81         0.10
l0655      5561.96         0.20
l0656      5562.11         0.10
l0657      5562.21         0.10
l0658      5562.32         0.12
l0659      5562.50         0.19
l0660      5562.69         0.20
l0661      5562.95         0.18
l0662      5563.10         0.13
l0663      5563.35         0.20
l0664      5563.61         0.32
l0665      5563.82         0.10
l0666      5563.94         0.13
l0667      5564.13         0.27
l0668      5564.37         0.16
l0669      5564.77         0.46
l0670      5565.15         0.30
l0671      5565.44         0.30
l0672      5565.68         0.19
l0673      5565.88         0.20
l0674      5566.12         0.28
l0675      5566.41         0.19
l0676      5566.65         0.32
l0677      5566.94         0.29
l0678      5567.13         0.11
l0679      5567.25         0.13
l0680      5567.40         0.15
l0681      5567.80         0.19
l0682      5568.02         0.24
l0683      5568.25         0.23
l0684      5568.60         0.47
l0685      5568.92         0.15
l0686      5569.12         0.26
l0687      5569.56         0.62
l0688      5570.02         0.25
l0689      5570.25         0.22
l0690      5570.47         0.23
l0691      5570.75         0.32
l0692      5571.03         0.24
l0693      5571.52         0.28
l0694      5572.03         0.36
l0695      5572.29         0.16
l0696      5572.79         0.43
l0697      5573.11         0.16
l0698      5573.51         0.40
l0699      5573.99         0.18
l0700      5574.29         0.23
l0701      5574.53         0.26
l0702      5574.75         0.19
l0703      5574.94         0.18
l0704      5575.10         0.15
l0705      5575.32         0.27
l0706      5575.50         0.11
l0707      5575.76         0.31
l0708      5576.08         0.31
l0709      5576.81         0.17
l0710      5576.97         0.15
l0711      5577.13         0.17
l0712      5577.54         0.19
l0713      5577.71         0.17
l0714      5577.90         0.19
l0715      5578.13         0.29
l0716      5578.37         0.19
l0717      5578.54         0.15
l0718      5578.71         0.19
l0719      5579.26         0.28
l0720      5579.86         0.27
l0721      5580.29         0.25
l0722      5580.50         0.18
l0723      5580.77         0.36
l0724      5581.06         0.22
l0725      5581.36         0.22
l0726      5581.56         0.17
l0727      5581.96         0.63
l0728      5582.35         0.16
l0729      5582.49         0.11
l0730      5583.11         0.52
l0731      5583.52         0.29
l0732      5583.73         0.14
l0733      5583.89         0.18
l0734      5584.18         0.27
l0735      5584.45         0.30
l0736      5585.24         0.22
l0737      5585.69         0.32
l0738      5585.98         0.25
l0739      5586.38         0.34
l0740      5586.79         0.48
l0741      5587.18         0.30
l0742      5587.49         0.31
l0743      5587.88         0.38
l0744      5588.77         1.41
l0745      5589.65         0.36
l0746      5590.82         0.22
l0747      5591.04         0.12
l0748      5591.28         0.34
l0749      5591.55         0.19
l0750      5591.75         0.20
l0751      5591.96         0.23
l0752      5592.28         0.40
l0753      5592.62         0.28
l0754      5592.99         0.26
l0755      5595.06         0.28
l0756      5595.35         0.30
l0757      5595.59         0.18
l0758      5595.88         0.40
l0759      5596.17         0.19
l0760      5596.45         0.22
l0761      5596.62         0.12
l0762      5596.80         0.24
l0763      5597.04         0.25
l0764      5598.85         0.15
l0765      5599.00         0.14
l0766      5599.17         0.20
l0767      5599.35         0.16
l0768      5599.52         0.18
l0769      5599.69         0.16
l0770      5599.88         0.17
l0771      5600.29         0.27
l0772      5600.56         0.25
l0773      5600.79         0.21
l0774      5601.00         0.22
l0775      5601.27         0.32
l0776      5601.81         0.24
l0777      5602.10         0.29
l0778      5602.42         0.28
l0779      5602.90         0.67
l0780      5603.33         0.21
l0781      5603.49         0.10
l0782      5603.58         0.08
l0783      5604.16         0.12
l0784      5604.38         0.11
l0785      5604.50         0.11
l0786      5604.62         0.14
l0787      5604.75         0.13
l0788      5605.10         0.18
l0789      5605.25         0.12
l0790      5605.41         0.12
l0791      5605.57         0.20
l0792      5605.77         0.20
l0793      5605.99         0.23
l0794      5606.24         0.28
l0795      5606.45         0.14
l0796      5606.67         0.29
l0797      5606.92         0.21
l0798      5607.17         0.31
l0799      5607.42         0.19
l0800      5607.66         0.19
l0801      5608.25         0.25
l0802      5608.50         0.27
l0803      5608.78         0.28
l0804      5609.11         0.38
l0805      5609.44         0.28
l0806      5609.93         0.18
l0807      5610.46         0.31
l0808      5610.75         0.28
l0809      5611.20         0.28
l0810      5611.51         0.24
l0811      5611.94         0.21
l0812      5612.21         0.33
l0813      5612.45         0.15
l0814      5612.75         0.46
l0815      5613.13         0.28
l0816      5613.45         0.35
l0817      5613.83         0.42
l0818      5614.37         0.47
l0819      5614.75         0.30
